Order_ID,Order_Date,Order_Time,Customer_ID,Product,Category,Region,City,Sales_Channel,Payment_Mode,Quantity,Unit_Price,Discount_Percent,Revenue,Discount_Amount,Net_Sales,Cost,Profit
500001,01-01-2023,00:00:00,71615,Monitor,Office Equipment,West,Jaipur,Retail Store,Cash,14,91260,12,1277640,153316.8,1124323.2,657806.28,466516.92
500002,01-01-2023,00:01:00,68564,Headphones,Electronics,North,Delhi,Online,Credit Card,14,86093,16,1205302,192848.32,1012453.68,655968.8,356484.88
500003,01-01-2023,00:02:00,59689,Keyboard,Office Equipment,West,Pune,Online,Credit Card,10,61023,29,610230,176966.7,433263.3,366060.8,67202.5
500004,01-01-2023,00:03:00,20742,Monitor,Electronics,North,Bangalore,Distributor,UPI,6,20619,1,123714,1237.14,122476.86,77059.4,45417.46
500005,01-01-2023,00:04:00,63459,Printer,Office Equipment,West,Mumbai,Retail Store,Cash,4,509,22,2036,447.92,1588.08,1272.8,315.28
500006,01-01-2023,00:05:00,76455,Printer,Accessories,South,Chennai,Distributor,UPI,7,17639,10,123473,12347.3,111125.7,92626.87,18498.83
500007,01-01-2023,00:06:00,89463,Headphones,Furniture,South,Indore,Online,Debit Card,6,75517,5,453102,22655.1,430446.9,278513.67,151933.23
500008,01-01-2023,00:07:00,66718,Office Chair,Electronics,West,Jaipur,Retail Store,Credit Card,1,115171,22,115171,25337.62,89833.38,53447,36386.38
500009,01-01-2023,00:08:00,78119,Camera,Accessories,North,Chennai,Online,Credit Card,4,82821,9,331284,29815.56,301468.44,193251.38,108217.06
500010,01-01-2023,00:09:00,63593,Tablet,Electronics,South,Bangalore,Retail Store,UPI,3,108293,14,324879,45483.06,279395.94,231660.09,47735.85
500011,01-01-2023,00:10:00,37354,Headphones,Office Equipment,South,Jaipur,Retail Store,Credit Card,12,45169,28,542028,151767.84,390260.16,321459.41,68800.75
500012,01-01-2023,00:11:00,55960,Tablet,Electronics,North,Chennai,Distributor,Net Banking,13,90479,32,1176227,376392.64,799834.36,591030.69,208803.67
500013,01-01-2023,00:12:00,29623,Tablet,Electronics,East,Pune,Retail Store,Net Banking,14,58374,7,817236,57206.52,760029.48,608033.53,151995.95
500014,01-01-2023,00:13:00,11092,Monitor,Electronics,South,Mumbai,Online,Debit Card,2,115207,13,230414,29953.82,200460.18,131300.53,69159.65
500015,01-01-2023,00:14:00,99004,Headphones,Furniture,West,Indore,Retail Store,Credit Card,12,118246,1,1418952,14189.52,1404762.48,775072.57,629689.91
500016,01-01-2023,00:15:00,88923,Smartphone,Electronics,West,Pune,Distributor,Net Banking,12,4987,9,59844,5385.96,54458.04,36023,18435.04
500017,01-01-2023,00:16:00,70215,Laptop,Office Equipment,North,Pune,Retail Store,Net Banking,4,98583,14,394332,55206.48,339125.52,265938.86,73186.66
500018,01-01-2023,00:17:00,74518,Monitor,Accessories,North,Indore,Distributor,Cash,14,63016,26,882224,229378.24,652845.76,519835.77,133009.99
500019,01-01-2023,00:18:00,83491,Camera,Office Equipment,West,Indore,Online,Net Banking,10,78425,16,784250,125480,658770,463012.45,195757.55
500020,01-01-2023,00:19:00,13516,Tablet,Office Equipment,East,Indore,Distributor,Credit Card,1,63156,8,63156,5052.48,58103.52,45289.09,12814.43
500021,01-01-2023,00:20:00,37692,Keyboard,Accessories,North,Jaipur,Retail Store,Credit Card,9,7906,26,71154,18500.04,52653.96,39228.54,13425.42
